2026-06-16 21:38:35,619 INFO speace.live | Accensione organismo (ILF on)...
2026-06-16 21:39:03,967 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:04,822 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:05,335 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:05,745 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:06,085 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:06,475 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:07,097 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:08,361 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:09,089 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:09,547 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:10,179 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:10,816 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:11,341 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:12,105 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:12,672 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:13,136 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:13,838 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:14,649 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:15,275 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:16,345 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:16,848 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:17,423 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:18,313 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:19,271 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:19,960 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:20,744 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:21,259 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:22,539 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:23,598 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:24,340 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:25,085 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:25,516 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:25,928 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:26,564 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:27,768 INFO speace_agi_team.action_executor | Restored 0 proposals from data\agi_team\proposals.jsonl
2026-06-16 21:39:27,769 INFO speace.agi_team | ActionExecutor collegato: patch_executor=True, mmapr=True, sandbox=False, substrate=False, self_mod=True, safe_reg=True
2026-06-16 21:39:27,770 INFO speace.agi_team | AGI Orchestrator collegato: runtime=True, brain_orchestrator=True
INFO:     Started server process [14976]
INFO:     Waiting for application startup.
2026-06-16 21:39:28,708 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:28,758 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:28,758 INFO speace.agi_team | AGI Team avviato su http://127.0.0.1:8686 | modello=gemma4:12b | provider=ollama_local | endpoint=http://localhost:11434
2026-06-16 21:39:28,776 INFO speace.live | SPEACE VIVO 24/7 — cervello in loop + team non-LLM ogni 300s. Ctrl+C per arresto ordinato.
2026-06-16 21:39:29,322 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:30,082 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:31,544 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:32,885 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:34,202 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:35,180 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:36,709 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:38,066 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:38,985 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:39,493 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:40,345 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:41,598 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:42,758 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:43,415 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:43,791 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:44,359 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:44,708 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:45,416 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:46,709 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:47,322 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:47,771 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:48,307 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:40:30,816 INFO speace.live | VITALI | tick=245034 phi=0.263 energy=0.895 active=16 SCI=0.858 ILF=0.668 drive=coherence_maintenance
2026-06-16 21:41:01,491 INFO speace.live | VITALI | tick=245061 phi=0.397 energy=0.870 active=10 SCI=0.856 ILF=0.672 drive=coherence_maintenance
2026-06-16 21:41:22,524 INFO speace.causal_adaptation | Epigenetica: acetylate plasticity (conf=0.600, pattern=drive_stagnation)
2026-06-16 21:41:22,532 INFO speace.causal_adaptation | Epigenetica: methylate routing_habit (conf=0.600, pattern=drive_stagnation)
2026-06-16 21:41:25,227 INFO speace_core.runtime.continuous_runtime_engine | Coherence recovery: injected energy into 68 stalled neurons (phi=0.1933, active=12/80)
2026-06-16 21:41:33,389 INFO speace.live | VITALI | tick=245086 phi=0.218 energy=0.843 active=23 SCI=0.857 ILF=0.668 drive=coherence_maintenance
2026-06-16 21:41:42,641 INFO speace_core.runtime.continuous_runtime_engine | Coherence recovery: injected energy into 76 stalled neurons (phi=0.1219, active=6/82)
2026-06-16 21:41:43,179 INFO speace_core.runtime.continuous_runtime_engine | Coherence recovery: injected energy into 67 stalled neurons (phi=0.0309, active=15/82)
2026-06-16 21:41:49,442 INFO speace_core.runtime.continuous_runtime_engine | Coherence recovery: injected energy into 72 stalled neurons (phi=0.1713, active=10/82)
2026-06-16 21:41:53,558 INFO speace_core.runtime.continuous_runtime_engine | Coherence recovery: injected energy into 73 stalled neurons (phi=0.1839, active=9/82)
2026-06-16 21:41:55,207 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:41:58,007 INFO speace_core.runtime.continuous_runtime_engine | Coherence recovery: injected energy into 76 stalled neurons (phi=0.0854, active=6/82)
2026-06-16 21:42:01,135 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:42:01,830 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:42:02,380 WARNING speace_agi_team.agent_base | llm_fallback from_model=Kimi-K2.7-Code:cloud to_model=gemma3:12b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:42:02,477 INFO speace.causal_adaptation | Epigenetica: methylate energy_expression (conf=0.800, pattern=reflex_inefficacy)
2026-06-16 21:42:02,478 INFO speace.causal_adaptation | Epigenetica: acetylate repair_expression (conf=0.800, pattern=reflex_inefficacy)
2026-06-16 21:42:02,855 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:12b to_model=llama3.1:8b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:42:03,360 WARNING speace_agi_team.agent_base | llm_fallback from_model=llama3.1:8b to_model=qwen3.5:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:42:03,406 INFO speace.live | VITALI | tick=245108 phi=0.219 energy=0.823 active=18 SCI=0.857 ILF=0.664 drive=coherence_maintenance
2026-06-16 21:42:03,769 WARNING speace_agi_team.agent_base | llm_fallback from_model=qwen3.5:4b to_model=gemma3:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:42:04,337 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:4b to_model=none reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:42:04,493 ERROR speace_agi_team.agent_base | All LLM fallbacks failed for agent chief_architect: [Errno 11001] getaddrinfo failed
2026-06-16 21:42:36,882 INFO speace.live | VITALI | tick=245128 phi=0.417 energy=0.810 active=3 SCI=0.856 ILF=0.670 drive=coherence_maintenance
2026-06-16 21:42:52,695 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:42:57,977 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:42:58,864 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:42:59,879 WARNING speace_agi_team.agent_base | llm_fallback from_model=Kimi-K2.7-Code:cloud to_model=gemma3:12b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:00,711 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:12b to_model=llama3.1:8b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:01,306 WARNING speace_agi_team.agent_base | llm_fallback from_model=llama3.1:8b to_model=qwen3.5:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:01,847 WARNING speace_agi_team.agent_base | llm_fallback from_model=qwen3.5:4b to_model=gemma3:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:02,238 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:4b to_model=none reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:02,291 ERROR speace_agi_team.agent_base | All LLM fallbacks failed for agent brain_supervisor: [Errno 11001] getaddrinfo failed
2026-06-16 21:43:48,761 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:43:55,338 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:43:56,017 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:56,732 WARNING speace_agi_team.agent_base | llm_fallback from_model=Kimi-K2.7-Code:cloud to_model=gemma3:12b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:57,606 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:12b to_model=llama3.1:8b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:58,117 WARNING speace_agi_team.agent_base | llm_fallback from_model=llama3.1:8b to_model=qwen3.5:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:58,518 WARNING speace_agi_team.agent_base | llm_fallback from_model=qwen3.5:4b to_model=gemma3:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:58,854 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:4b to_model=none reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:43:58,854 ERROR speace_agi_team.agent_base | All LLM fallbacks failed for agent dna_supervisor: [Errno 11001] getaddrinfo failed
2026-06-16 21:44:44,339 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:44:48,368 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:44:49,425 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:44:49,853 WARNING speace_agi_team.agent_base | llm_fallback from_model=Kimi-K2.7-Code:cloud to_model=gemma3:12b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:44:50,356 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:12b to_model=llama3.1:8b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:44:50,880 WARNING speace_agi_team.agent_base | llm_fallback from_model=llama3.1:8b to_model=qwen3.5:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:44:51,271 WARNING speace_agi_team.agent_base | llm_fallback from_model=qwen3.5:4b to_model=gemma3:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:44:51,795 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:4b to_model=none reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:44:51,885 ERROR speace_agi_team.agent_base | All LLM fallbacks failed for agent organism_supervisor: [Errno 11001] getaddrinfo failed
2026-06-16 21:45:38,376 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:45:44,030 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:45:44,559 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:45:45,012 WARNING speace_agi_team.agent_base | llm_fallback from_model=Kimi-K2.7-Code:cloud to_model=gemma3:12b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:45:45,444 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:12b to_model=llama3.1:8b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:45:46,003 WARNING speace_agi_team.agent_base | llm_fallback from_model=llama3.1:8b to_model=qwen3.5:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:45:46,642 WARNING speace_agi_team.agent_base | llm_fallback from_model=qwen3.5:4b to_model=gemma3:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:45:48,188 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:4b to_model=none reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:45:48,188 ERROR speace_agi_team.agent_base | All LLM fallbacks failed for agent memory_supervisor: [Errno 11001] getaddrinfo failed
2026-06-16 21:46:35,102 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:46:41,474 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:46:41,920 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:46:42,474 WARNING speace_agi_team.agent_base | llm_fallback from_model=Kimi-K2.7-Code:cloud to_model=gemma3:12b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:46:43,080 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:12b to_model=llama3.1:8b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:46:43,531 WARNING speace_agi_team.agent_base | llm_fallback from_model=llama3.1:8b to_model=qwen3.5:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:46:44,087 WARNING speace_agi_team.agent_base | llm_fallback from_model=qwen3.5:4b to_model=gemma3:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:46:44,560 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:4b to_model=none reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:46:44,560 ERROR speace_agi_team.agent_base | All LLM fallbacks failed for agent selfimprovement_supervisor: [Errno 11001] getaddrinfo failed
2026-06-16 21:46:55,417 INFO speace.live | Ciclo evolutivo cycle-051ef3 completato | AGI%=38.17 | task=8 | proposte=3 | errori=0
2026-06-16 21:47:02,468 INFO speace.live | VITALI | tick=245147 phi=0.440 energy=0.810 active=13 SCI=0.858 ILF=0.678 drive=information_exploration
2026-06-16 21:47:30,179 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:47:33,107 INFO speace.live | VITALI | tick=245167 phi=0.383 energy=0.805 active=7 SCI=0.858 ILF=0.669 drive=coherence_maintenance
2026-06-16 21:47:35,456 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:47:36,129 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:47:36,583 WARNING speace_agi_team.agent_base | llm_fallback from_model=Kimi-K2.7-Code:cloud to_model=gemma3:12b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:47:36,953 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:12b to_model=llama3.1:8b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:47:37,430 WARNING speace_agi_team.agent_base | llm_fallback from_model=llama3.1:8b to_model=qwen3.5:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:47:37,793 WARNING speace_agi_team.agent_base | llm_fallback from_model=qwen3.5:4b to_model=gemma3:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:47:38,198 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:4b to_model=none reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:47:38,199 ERROR speace_agi_team.agent_base | All LLM fallbacks failed for agent embodied_cognition_supervisor: [Errno 11001] getaddrinfo failed
2026-06-16 21:48:03,661 INFO speace.live | VITALI | tick=245191 phi=0.549 energy=0.802 active=4 SCI=0.859 ILF=0.680 drive=coherence_maintenance
2026-06-16 21:48:24,177 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:48:28,081 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:48:28,737 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:48:29,394 WARNING speace_agi_team.agent_base | llm_fallback from_model=Kimi-K2.7-Code:cloud to_model=gemma3:12b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:48:29,708 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:12b to_model=llama3.1:8b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:48:30,146 WARNING speace_agi_team.agent_base | llm_fallback from_model=llama3.1:8b to_model=qwen3.5:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:48:30,636 WARNING speace_agi_team.agent_base | llm_fallback from_model=qwen3.5:4b to_model=gemma3:4b reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:48:31,380 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma3:4b to_model=none reason=[Errno 11001] getaddrinfo failed
2026-06-16 21:48:31,394 ERROR speace_agi_team.agent_base | All LLM fallbacks failed for agent advanced_language_supervisor: [Errno 11001] getaddrinfo failed
2026-06-16 21:48:33,948 INFO speace.live | VITALI | tick=245204 phi=0.323 energy=0.800 active=14 SCI=0.859 ILF=0.667 drive=coherence_maintenance
2026-06-16 21:49:04,239 INFO speace.live | VITALI | tick=245222 phi=0.522 energy=0.799 active=10 SCI=0.861 ILF=0.687 drive=coherence_maintenance
2026-06-16 21:49:17,494 WARNING speace_agi_team.agent_base | llm_fallback from_model=gemma4:12b to_model=glm-5.1:cloud reason=timed out
2026-06-16 21:49:23,347 WARNING speace_agi_team.agent_base | llm_fallback from_model=glm-5.1:cloud to_model=deepseek-v4-pro:cloud reason=[Errno 11002] getaddrinfo failed
2026-06-16 21:49:24,316 WARNING speace_agi_team.agent_base | llm_fallback from_model=deepseek-v4-pro:cloud to_model=Kimi-K2.7-Code:cloud reason=[Errno 11001] getaddrinfo failed
